Date,Day of Week,Lecture_No,Start_Time,End_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total Enrolled Students,Students Present,Attendence Percentage,Previous Lecture Attendence,Gap Since Previous Lecture,Practical/ Theory,Internal Test Week,Assignment Due,Holiday Before/ After,Special Event,Weather,Faculty Experience,Start Time Minutes,End Time Minutes,Day of Semester,Week Number,Days Since Last Holiday,Consecutive Lecture Count (Day),Previous Lecture Attendance,Rolling Avg Attendance (Prev 3),Historical Avg Attendance,Monthly Avg Attendance,Macro Historical Avg Attendance,Lunch Time Slot,Week Before Exam
2026-06-16,Tuesday,3,11.15 AM,12.15 PM,Lab Session,,3,MCA,A,Computer Lab,103,82,79.61,77.67,0.0,Practical,No,No,No,No,Cloudy,0,675,735,2,1,1.0,3,77.67,77.67,77.67,77.67,58.40642857142858,Before Lunch,0
2026-06-16,Tuesday,3,11.15 AM,12.15 PM,Lab Session,,3,MCA,B,Computer Lab,102,86,84.31,81.37,0.0,Practical,No,No,No,No,Cloudy,0,675,735,2,1,1.0,3,81.37,81.37,81.37,81.37,59.82,Before Lunch,0
2026-06-16,Tuesday,4,01.30 PM,02.30 PM,CI/CD Session,,3,MCA,A,Computer Lab,103,80,77.67,,1.25,Practical,No,No,No,No,Cloudy,0,810,870,2,1,1.0,4,,,,,61.350625,After Lunch,0
2026-06-16,Tuesday,4,01.30 PM,02.30 PM,CI/CD Session,,3,MCA,B,Computer Lab,102,82,80.39,,1.25,Practical,No,No,No,No,Cloudy,0,810,870,2,1,1.0,4,,,,,62.31058823529412,After Lunch,0
2026-06-16,Tuesday,5,02.30 PM,03.30 PM,CI/CD Session,,3,MCA,A,Computer Lab,103,80,77.67,77.67,0.0,Practical,No,No,No,No,Cloudy,0,870,930,2,1,1.0,5,77.67,77.67,77.67,77.67,63.315000000000005,After Lunch,0
2026-06-16,Tuesday,5,02.30 PM,03.30 PM,CI/CD Session,,3,MCA,B,Computer Lab,102,82,80.39,80.39,0.0,Practical,No,No,No,No,Cloudy,0,870,930,2,1,1.0,5,80.39,80.39,80.39,80.39,64.07052631578946,After Lunch,0
2026-06-17,Wednesday,1,09.15 AM,10.15 AM,Soft Skill,SD,3,MCA,A,Seminar Hall,103,46,44.66,44.66,0.0,Theory,Yes,No,No,No,Sunny,8,555,615,3,1,2.0,1,44.66,43.04333333333333,43.4475,43.4475,64.8865,Before Lunch,1
2026-06-17,Wednesday,1,09.15 AM,10.15 PM,Soft Skill,SD,3,MCA,B,Seminar Hall,102,50,49.02,41.18,0.0,Theory,Yes,No,No,No,Sunny,8,555,1335,3,1,2.0,1,41.18,45.099999999999994,46.08,46.08,63.92333333333334,Before Lunch,1
2026-06-17,Wednesday,2,10.15 AM,11.15 AM,Soft Skill,SD,3,MCA,A,Seminar Hall,103,50,48.54,44.66,0.0,Theory,Yes,No,No,No,Sunny,8,615,675,3,1,2.0,2,44.66,44.01333333333333,43.69,43.69,63.245909090909095,Before Lunch,1
2026-06-17,Wednesday,2,10.15 AM,11.15 PM,Soft Skill,SD,3,MCA,B,Seminar Hall,102,32,31.37,49.02,0.0,Theory,Yes,No,No,No,Sunny,8,615,1395,3,1,2.0,2,49.02,46.080000000000005,46.668,46.668,62.606521739130436,Before Lunch,1
2026-06-17,Wednesday,3,11.15 AM,12.15 PM,Lab Session,,3,MCA,A,Computer Lab,103,83,80.58,79.61,0.0,Practical,Yes,No,No,No,Sunny,0,675,735,3,1,2.0,3,79.61,78.64,78.64,78.64,61.305,Before Lunch,1
2026-06-17,Wednesday,3,11.15 AM,12.15 PM,Lab Session,,3,MCA,B,Computer Lab,102,80,78.43,84.31,0.0,Practical,Yes,No,No,No,Sunny,0,675,735,3,1,2.0,3,84.31,82.84,82.84,82.84,62.076,Before Lunch,1
2026-06-17,Wednesday,4,01.30 PM,02.30 PM,CI/CD Session,,3,MCA,A,Computer Lab,103,79,76.7,77.67,1.25,Practical,Yes,No,No,No,Sunny,0,810,870,3,1,2.0,4,77.67,77.67,77.67,77.67,62.705,After Lunch,1
2026-06-17,Wednesday,4,01.30 PM,02.30 PM,CI/CD Session,,3,MCA,B,Computer Lab,102,77,75.49,80.39,1.25,Practical,Yes,No,No,No,Sunny,0,810,870,3,1,2.0,4,80.39,80.39,80.39,80.39,63.22333333333333,After Lunch,1
2026-06-17,Wednesday,5,02.30 PM,03.30 PM,CI/CD Session,,3,MCA,A,Computer Lab,103,79,76.7,76.7,0.0,Practical,Yes,No,No,No,Sunny,0,870,930,3,1,2.0,5,76.7,77.34666666666668,77.34666666666668,77.34666666666668,63.66142857142857,After Lunch,1
2026-06-17,Wednesday,5,02.30 PM,03.30 PM,CI/CD Session,,3,MCA,B,Computer Lab,102,77,75.49,75.49,0.0,Practical,Yes,No,No,No,Sunny,0,870,930,3,1,2.0,5,75.49,78.75666666666666,78.75666666666666,78.75666666666666,64.11103448275863,After Lunch,1
2026-06-18,Thursday,1,09.15 AM,10.15 AM,Soft Skill,SD,3,MCA,A,Seminar Hall,103,31,30.1,48.54,0.0,Theory,Yes,No,No,No,Rainy,8,555,615,4,1,3.0,1,48.54,45.953333333333326,44.498333333333335,44.498333333333335,64.49033333333334,Before Lunch,1
2026-06-18,Thursday,1,09.15 AM,10.15 AM,Soft Skill,SD,3,MCA,B,Seminar Hall,102,33,32.35,31.37,0.0,Theory,Yes,No,No,No,Rainy,8,555,615,4,1,3.0,1,31.37,40.52333333333333,44.11833333333333,44.11833333333333,63.380967741935486,Before Lunch,1
